step,position_error_m,attitude_error_deg,velocity_error_ms,rate_error_rads,yaw_error_raw_rad,yaw_error_corrected_rad,fullstate_error,cumulative_mse_pos,cumulative_rmse_pos,cumulative_mse_full,cumulative_rmse_full,cumulative_mse_input,cumulative_rmse_input,in_track,solve_time_s
31,1.66361613010242e-10,2.57695226416955e-07,4.29194242358318e-09,3.90924088604532e-09,-4.47761339117392e-09,-4.47761339117392e-09,7.34569856335689e-09,7.09541328261763e-21,8.42342761743557e-11,3.2036651124563e-17,5.6600928547651e-09,1.22516461602695e-20,1.10687154450141e-10,1,0.0099247
32,1.73109416660938e-10,2.69261003539904e-07,4.48719031342372e-09,4.21569441184346e-09,-4.67835414852402e-09,-4.67835414852402e-09,7.74739565058134e-09,7.8101463093074e-21,8.83750321601492e-11,3.29111976321281e-17,5.73682818569007e-09,1.18760089110666e-20,1.08977102691651e-10,1,0.0099704
33,1.79967044321765e-10,2.81694508865287e-07,4.69681246426038e-09,4.51463804786552e-09,-4.89416240867513e-09,-4.89416240867513e-09,8.16372045189119e-09,8.55493390726512e-21,9.24928857116326e-11,3.39334744195371e-17,5.82524458023327e-09,1.15227575318725e-20,1.07344108044515e-10,1,0.0099507
34,1.86989169210139e-10,2.94971237918195e-07,4.92051839148315e-09,4.8053135936012e-09,-5.12462428048366e-09,-5.12462428048366e-09,8.59311741382211e-09,9.33169906887197e-21,9.66007198154961e-11,3.51072447862487e-17,5.92513668924597e-09,1.11898232704909e-20,1.05781960988114e-10,1,0.0102631
35,1.94224829091707e-10,3.09064908096395e-07,5.15791040161769e-09,5.08676279477748e-09,-5.36929078975845e-09,-5.36929078975845e-09,9.03406414900193e-09,1.01428872164957e-20,1.00711902059765e-10,3.64360182223068e-17,6.03622549465366e-09,1.08754015974766e-20,1.04285193567815e-10,1,0.0101146
36,2.01718280123837e-10,3.23946455705893e-07,5.40849741641178e-09,5.35786577939372e-09,-5.62766144796001e-09,-5.62766144796001e-09,9.4850519340021e-09,1.09914254753741e-20,1.04839999405638e-10,3.79229679992071e-17,6.1581627129532e-09,1.05779147487529e-20,1.02848990023008e-10,1,0.0096564
37,2.09510068651781e-10,3.39583742725459e-07,5.67170409910573e-09,5.61733534433829e-09,-5.8991802553976e-09,-5.8991802553976e-09,9.94455535800135e-09,1.18806969183768e-20,1.08998609708458e-10,3.9570838628103e-17,6.29053563920458e-09,1.0295979834669e-20,1.01469107784926e-10,1,0.0099137
38,2.17637488584045e-10,3.55940878943747e-07,5.94687704328275e-09,5.8637572958203e-09,-6.183224598999e-09,-6.183224598999e-09,1.04110294410924e-08,1.28145226951872e-20,1.13201248646767e-10,4.13818569279764e-17,6.43287314720074e-09,1.0028375718681e-20,1.00141778088274e-10,1,0.0099723
39,2.26133875140913e-10,3.72977910264953e-07,6.23328985018662e-09,6.09563871028466e-09,-6.47910036732924e-09,-6.47910036732924e-09,1.08829199916885e-08,1.37971382539323e-20,1.17461220213023e-10,4.33576541232974e-17,6.58465292352584e-09,9.77401607735923e-21,9.88636236305307e-11,1,0.0101096
40,2.35031325824672e-10,3.90650511500314e-07,6.53014631306326e-09,6.31142563661469e-09,-6.78603706560921e-09,-6.78603706560921e-09,1.13586594798339e-08,1.48332029005566e-20,1.21791637235717e-10,4.54991913996855e-17,6.74530884390666e-09,9.53193110077207e-21,9.76316091272292e-11,1,0.0099697
