state_1_error,state_2_error,state_3_error,state_4_error,state_5_error,state_6_error,state_7_error,state_8_error,state_9_error,state_10_error,state_11_error,state_12_error
1.12574671806698e-10,8.12125922067253e-11,9.94027082867888e-12,1.3440804025322e-11,3.64246012755946e-09,2.14826987217452e-11,3.26539597759156e-11,2.03005446450065e-08,2.18727737777307e-07,3.88128398428159e-10,8.75065298000521e-12,2.81756840081471e-09
1.14082132629534e-10,9.07451891407618e-11,1.02731156914615e-11,2.07944772512292e-11,3.78771658716945e-09,2.15726468109039e-11,1.39084065943059e-10,2.11810353393863e-08,2.27094581255677e-07,4.10005286092346e-10,7.53083706506175e-12,3.05552361190564e-09
1.14779852289359e-10,1.00517483225815e-10,1.06463726723405e-11,2.78008727150336e-11,3.94366336361089e-09,2.16769421602588e-11,2.61558480200845e-10,2.21315045607658e-08,2.36147483101058e-07,4.31294262721641e-10,4.78954376159635e-12,3.29861582493152e-09
1.14677059515067e-10,1.10538134201477e-10,1.10669251540685e-11,3.43909345446036e-11,4.11102549027754e-09,2.17642849844886e-11,3.86606758334605e-10,2.31580936426057e-08,2.4593175985655e-07,4.46268484340686e-10,4.24260626630257e-12,3.56846108218178e-09
1.13781623012343e-10,1.20816689985759e-10,1.15436549208425e-11,4.04460909209092e-11,4.29169686837499e-09,2.17225933655737e-11,4.87769865949245e-10,2.42803647691861e-08,2.56548349605526e-07,4.52051253824677e-10,8.28689894483148e-12,3.88300724907253e-09
1.1210179312604e-10,1.31354482846291e-10,1.20854437568596e-11,4.58022508809108e-11,4.48690477467616e-09,2.15547137823785e-11,5.57435940553351e-10,2.55029956814636e-08,2.68049947777946e-07,4.65255354586675e-10,8.38325242558113e-12,4.18993395534528e-09
1.09647374513244e-10,1.42141964865061e-10,1.26985089110576e-11,5.03772579207862e-11,4.69649351832844e-09,2.14030048127238e-11,6.09928610154896e-10,2.68129830631985e-08,2.80414850268666e-07,4.84301141730855e-10,5.76255709816564e-12,4.48858283874642e-09
1.06427200385895e-10,1.53163481897423e-10,1.3384626740276e-11,5.41755529326338e-11,4.92017385789361e-09,2.13414734425713e-11,6.55713489933233e-10,2.82007577222752e-08,2.9361934286198e-07,5.07681492648861e-10,1.29080079958044e-12,4.77841988200112e-09
1.02446606753404e-10,1.64401714464191e-10,1.41440192891196e-11,5.7255089558339e-11,5.15754819891348e-09,2.14042453707533e-11,7.01620025928137e-10,2.96592300455414e-08,3.07637701231624e-07,5.34079084255144e-10,4.32386071391733e-12,5.05864572453163e-09
9.77055103490443e-11,1.75839898197694e-10,1.49742440669343e-11,5.97049076844769e-11,5.40812471415271e-09,2.16033215495991e-11,7.51554734427114e-10,3.1183039508183e-08,3.2244124949659e-07,5.62559146835617e-10,1.0575498810006e-11,5.32823996035603e-09
9.21970833012153e-11,1.87462712020192e-10,1.58713042708314e-11,6.16280360077326e-11,5.67132683809686e-09,2.1937831999544e-11,8.07326555905247e-10,3.27678171114107e-08,3.37998131221189e-07,5.92418768907806e-10,1.71438557794446e-11,5.58598267641486e-09
8.59071147552015e-11,1.99255500987761e-10,1.68312030979223e-11,6.31321661614948e-11,5.94649972620384e-09,2.24032090740907e-11,8.69158924328909e-10,3.44096907275892e-08,3.54272673304114e-07,6.23113549272758e-10,2.37709435468858e-11,5.8305071881648e-09
7.88135112728128e-11,2.11202166866542e-10,1.78494996561085e-11,6.4322103199288e-11,6.23291555844923e-09,2.29927101720843e-11,9.36167645496653e-10,3.61049268728834e-08,3.71225106089627e-07,6.54286274627879e-10,3.03151670433266e-11,6.06034666894573e-09
