step,T,L,M,N,T_ref,L_ref,M_ref,N_ref
91,2.65233457751529,0.000113260560226577,-7.03975454025137e-05,-0.00399152478934276,2.65233433413726,0.000113136809494656,-7.03784654844179e-05,-0.00399147739987584
92,2.65241681811536,0.00011788012110971,-5.95606502597445e-05,-0.00403951181624254,2.65241664905051,0.000117765492674422,-5.95327805073372e-05,-0.00403950840894796
93,2.65248285754038,0.00012170638832014,-4.68160824433464e-05,-0.00397940519988291,2.6524827647879,0.000121610111138574,-4.67854401497819e-05,-0.00397943497267455
94,2.65253220497405,0.000124420040459842,-3.22252050582756e-05,-0.00378279231705569,2.6525321804072,0.00012434685215922,-3.21961954220637e-05,-0.00378284457502815
95,2.65256453374927,0.000125678583155898,-1.59780713143095e-05,-0.00342668419991202,2.65256456280438,0.000125629542608154,-1.59531533764255e-05,-0.00342674962729152
96,2.65257968423551,0.000125154766391158,1.58279909130851e-06,-0.00289989703589319,2.65257974961945,0.000125128308643095,1.60288651195728e-06,-0.00289996820502957
97,2.65257766571918,0.000122588268551595,1.99577772298419e-05,-0.00220930828739917,2.65257775044379,0.000122581204918041,1.99734943502197e-05,-0.00220937969821633
98,2.6525586568811,0.000117841237827839,3.85144152755747e-05,-0.00138373523453952,2.6525587463183,0.000117849550114275,3.85268729564609e-05,-0.00138380354728208
99,2.65252300452954,0.000110942482228477,5.65441998646612e-05,-0.000473161246121981,2.65252308752843,0.000110962018806974,5.65545632579404e-05,-0.00047322384387003
100,2.652471220545,0.000102104788733909,7.33436160609899e-05,0.000457730899541806,2.65247128971856,0.000102131651821017,7.33528434327146e-05,0.000457675797981892
101,2.65240397693785,9.17056535486544e-05,8.83015310116881e-05,0.00134051057643996,2.65240402836453,9.17364303404397e-05,8.83102728428702e-05,0.00134046344702058
102,2.65232209903985,8.02343206140221e-05,0.000100969899901792,0.00211515338749937,2.65232213165925,8.02662518620245e-05,0.000100978434443627,0.00211511405115592
