step,position_error_m,attitude_error_deg,velocity_error_ms,rate_error_rads,yaw_error_raw_rad,yaw_error_corrected_rad,fullstate_error,cumulative_mse_pos,cumulative_rmse_pos,cumulative_mse_full,cumulative_rmse_full,cumulative_mse_input,cumulative_rmse_input,in_track,solve_time_s
50,1.32052749059437e-07,1.15007064764116e-06,9.87889249962721e-08,1.83267190976808e-08,1.69493414858835e-08,1.69493414858835e-08,1.67140524425713e-07,2.83822456046402e-14,1.68470310751302e-07,3.70979709648593e-13,6.09081037012804e-07,5.72428034174874e-16,2.39254683167305e-08,1,0.0085503
51,1.28609077706176e-07,1.18212252621582e-06,9.41336447639126e-08,2.08072758330023e-08,1.75588197315335e-08,1.75588197315335e-08,1.62049551737037e-07,2.81500504921655e-14,1.67779767827249e-07,3.64220500777408e-13,6.03506835733787e-07,5.61347409172032e-16,2.36927712429769e-08,1,0.0093388
52,1.25429369147192e-07,1.22784404030095e-06,8.96498482851421e-08,2.43307506557643e-08,1.84484787446593e-08,1.84484787446593e-08,1.57546338873693e-07,2.79112519566366e-14,1.67066609340815e-07,3.57693584395006e-13,5.98074898649831e-07,5.50667044985197e-16,2.34662959366236e-08,1,0.008587
53,1.22520202096739e-07,1.28682322911767e-06,8.53479468490765e-08,2.83204235965906e-08,1.9602360623594e-08,1.9602360623594e-08,1.53629224442951e-07,2.76678547484327e-14,1.66336570688567e-07,3.51389968436665e-13,5.92781552038072e-07,5.40368169093903e-16,2.32458204650622e-08,1,0.0088557
54,1.19887024168323e-07,1.35883032479068e-06,8.12363653670269e-08,3.24771785747941e-08,2.10064277084143e-08,2.10064277084143e-08,1.50297918818554e-07,2.74216518561272e-14,1.65594842480456e-07,3.45301070213786e-13,5.87623238320087e-07,5.30432925177093e-16,2.30311294811412e-08,1,0.008924
55,1.17534324034281e-07,1.44373713942506e-06,7.73218510704587e-08,3.66641557655567e-08,2.26487189003421e-08,2.26487189003421e-08,1.47554003059064e-07,2.71742457737648e-14,1.64846127566785e-07,3.39418726824786e-13,5.82596538630969e-07,5.20844316645264e-16,2.28220138604213e-08,1,0.0088306
56,1.15465794415607e-07,1.54146697534903e-06,7.360977813133e-08,4.08285064341875e-08,2.45194677894744e-08,2.45194677894744e-08,1.45401250787475e-07,2.69270690578052e-14,1.6409469539813e-07,3.3373520534096e-13,5.77698195722438e-07,5.11586176221512e-16,2.26182708495038e-08,1,0.0087051
57,1.13684485613354e-07,1.65197344649269e-06,7.01044547157241e-08,4.49612187307339e-08,2.66111923608037e-08,2.66111923608037e-08,1.43845799118374e-07,2.66814040264257e-14,1.63344433717301e-07,3.28243212509084e-13,5.72925136915011e-07,5.02643140547329e-16,2.24197042921473e-08,1,0.0085359
58,1.12192946373612e-07,1.77524388528917e-06,6.68094725728294e-08,4.90792141404063e-08,2.89188197832857e-08,2.89188197832857e-08,1.4289692478842e-07,2.64384014952113e-14,1.62598897583013e-07,3.22935907657444e-13,5.68274500270287e-07,4.94000607859932e-16,2.22261244453443e-08,1,0.0084914
59,1.10993354196246e-07,1.91124891802739e-06,6.37269173958477e-08,5.31620851162823e-08,3.1438465608602e-08,3.1438465608602e-08,1.42546766164094e-07,2.6199098498271e-14,1.6186135579029e-07,3.17806817367383e-13,5.63743574125136e-07,4.85644755156809e-16,2.20373490954971e-08,1,0.0085625
60,1.10087640171955e-07,2.05993909018114e-06,6.08573006780611e-08,5.72348414342927e-08,3.41671468895299e-08,3.41671468895299e-08,1.427981956431e-07,2.59644349986103e-14,1.61134834839057e-07,3.12849892489242e-13,5.59329860180236e-07,4.77562519613908e-16,2.18532038752652e-08,1,0.0085661
61,1.09477604955191e-07,2.22141500593164e-06,5.82024115498156e-08,6.1405799944038e-08,3.71058352932607e-08,3.71058352932607e-08,1.43689699918696e-07,2.57352696049728e-14,1.60422160579431e-07,3.0805967670848e-13,5.5503123939872e-07,4.69741510386e-16,2.16735209503671e-08,1,0.0085228
62,1.09165017188299e-07,2.39596077958611e-06,5.57658999483787e-08,6.57152878526683e-08,4.02596223025853e-08,4.02596223025853e-08,1.452378426551e-07,2.55123943045333e-14,1.59725997585031e-07,3.03431198550909e-13,5.50845893649857e-07,4.62170009281838e-16,2.14981396702561e-08,1,0.0085825
63,1.0915168542891e-07,2.58396389182764e-06,5.35519433406095e-08,7.02034051038262e-08,4.36358198463438e-08,4.36358198463438e-08,1.47459519471734e-07,2.5296548211318e-14,1.59048886230989e-07,2.9895997809586e-13,5.46772327478138e-07,4.54836875266924e-16,2.1326904962205e-08,1,0.008606
64,1.094395221818e-07,2.78567009682665e-06,5.15617462858826e-08,7.47324145491906e-08,4.72393910655455e-08,4.72393910655455e-08,1.50280986253706e-07,2.50884304113815e-14,1.5839327767106e-07,2.94641609294822e-13,5.4280899890737e-07,4.47731705872632e-16,2.11596716863148e-08,1,0.008341
65,1.10030601045648e-07,3.00145503714917e-06,4.97978241127116e-08,7.95360368021423e-08,5.10778339624096e-08,5.10778339624096e-08,1.53807523886146e-07,2.4888711992229e-14,1.57761566904709e-07,2.9047261152727e-13,5.38955110864783e-07,4.40844596858767e-16,2.09962995991857e-08,1,0.0084478
66,1.10927197152281e-07,3.23206492690281e-06,4.82673776315825e-08,8.46427917048322e-08,5.51653633884541e-08,5.51653633884541e-08,1.58054081879943e-07,2.46980473115598e-14,1.57156124002725e-07,2.86450012758659e-13,5.35210250984283e-07,4.34166182094667e-16,2.08366547721717e-08,1,0.0085162
67,1.12131812110186e-07,3.47833936306881e-06,4.69781716801901e-08,9.00861604365997e-08,5.95178071272073e-08,5.95178071272073e-08,1.63038422054945e-07,2.45170845649262e-14,1.56579323554952e-07,2.82571378643845e-13,5.31574433775596e-07,4.27687597554519e-16,2.06806092162325e-08,1,0.0083734
68,1.13647187243646e-07,3.7412138913847e-06,4.59385696151942e-08,9.58967603457653e-08,6.41526596290021e-08,6.41526596290021e-08,1.68777536892146e-07,2.43464757208596e-14,1.56033572415873e-07,2.78834826854368e-13,5.2804812929729e-07,4.21400449485721e-16,2.05280405661554e-08,1,0.0083759
69,1.15476298947793e-07,4.02171006842424e-06,4.51573770294227e-08,1.02101157699753e-07,6.90889057075594e-08,6.90889057075594e-08,1.7528701929614e-07,2.41868858643062e-14,1.55521335720557e-07,2.75239040075808e-13,5.24632290348019e-07,4.1529678497008e-16,2.03788317861962e-08,1,0.0084227
70,1.17622330062572e-07,4.32092129690837e-06,4.46436575220419e-08,1.08720497985411e-07,7.43467793995478e-08,7.43467793995478e-08,1.82580208451917e-07,2.40390019595211e-14,1.55045161032265e-07,2.7178327568213e-13,5.21328376056905e-07,4.09369065933635e-16,2.02328709266292e-08,1,0.0084025
71,1.20088620511842e-07,4.63999390988599e-06,4.44065453782359e-08,1.15768836519757e-07,7.9947442443995e-08,7.9947442443995e-08,1.90667027939335e-07,2.39035410414495e-14,1.54607700459743e-07,2.684673692013e-13,5.18138368779325e-07,4.03610129904727e-16,2.00900505202134e-08,1,0.0083517
72,1.22878585934471e-07,4.98005539436594e-06,4.44545636874285e-08,1.23217981524322e-07,8.59117301743595e-08,8.59117301743595e-08,1.99531521342771e-07,2.37812577892246e-14,1.54211730387881e-07,2.65291611684745e-13,5.15064667478508e-07,3.98013210837054e-16,1.99502684402254e-08,1,0.0087305
73,1.25995600356916e-07,5.34221077060394e-06,4.47959388710722e-08,1.31080820985329e-07,9.22601146591262e-08,9.22601146591262e-08,2.09182435673673e-07,2.36729513990886e-14,1.53860168331796e-07,2.62256894968439e-13,5.1211023712521e-07,3.92571898170464e-16,1.98134272191982e-08,1,0.0084352
74,1.29442837826031e-07,5.72757236523062e-06,4.5439393333113e-08,1.39352019522191e-07,9.90132482669992e-08,9.90132482669992e-08,2.19618242605296e-07,2.3579471626999e-14,1.53556086258406e-07,2.59364668988934e-13,5.09278576997829e-07,3.87280119724908e-16,1.96794339279591e-08,1,0.0083212
75,1.33223063836761e-07,6.13718000980071e-06,4.63938598746347e-08,1.47990401702693e-07,1.06190560344999e-07,1.06190560344999e-07,2.30814519748911e-07,2.35017238018131e-14,1.53302719486032e-07,2.56616811302773e-13,5.06573599097676e-07,3.82132144980788e-16,1.95482005560816e-08,1,0.0083445
76,1.37338368989403e-07,6.57191268855145e-06,4.76683914184661e-08,1.56931414648022e-07,1.13808709567564e-07,1.13808709567564e-07,2.42730322549332e-07,2.34406725359559e-14,1.5310347003238e-07,2.54015511278854e-13,5.0399951515736e-07,3.77122588579512e-16,1.94196443988944e-08,1,0.0084801
77,1.4178983603832e-07,7.03240847900276e-06,4.92723981343863e-08,1.66081506884625e-07,1.21880178838296e-07,1.21880178838296e-07,2.55303697357519e-07,2.33973437706029e-14,1.52961903003993e-07,2.51563101754251e-13,5.01560666075651e-07,3.72246423184023e-16,1.92936886878591e-08,1,0.0084293
78,1.46577131152258e-07,7.51896512892963e-06,5.12158739302982e-08,1.75311419571225e-07,1.30411517140772e-07,1.30411517140772e-07,2.68446476988557e-07,2.33728246886314e-14,1.52881734319805e-07,2.49261824949806e-13,4.99261279241447e-07,3.67499008915637e-16,1.91702636631747e-08,1,0.0083671
79,1.51698005090395e-07,8.03141786443899e-06,5.35095374942092e-08,1.84448395135132e-07,1.39401163057329e-07,1.39401163057329e-07,2.82038487140974e-07,2.33682608919197e-14,1.52866807685382e-07,2.47113519674856e-13,4.97105139457295e-07,3.62876142534151e-16,1.90493081904344e-08,1,0.0085753
80,1.57147691051992e-07,8.5689894064198e-06,5.6164830253284e-08,1.9326725899494e-07,1.48836753588455e-07,1.48836753588455e-07,2.95921337777795e-07,2.33848500908078e-14,1.52921058362829e-07,2.45119218655823e-13,4.9509516121229e-07,3.58374139279279e-16,1.89307722842804e-08,1,0.0083627
81,1.62918183281139e-07,9.13010787736556e-06,5.91937097652199e-08,2.01480751765666e-07,1.58691830787205e-07,1.58691830787205e-07,3.09892379548461e-07,2.34238313791142e-14,1.530484608845e-07,2.43278651597137e-13,4.93232857377868e-07,3.53989962573666e-16,1.88146209787406e-08,1,0.0084937
82,1.68997383639164e-07,9.71218836812312e-06,6.26081953456664e-08,2.08729408872105e-07,1.68921855614457e-07,1.68921855614457e-07,3.23699543282699e-07,2.34864689925017e-14,1.53252957532642e-07,2.4158966065475e-13,4.91517711435458e-07,3.4972142185268e-16,1.87008401376163e-08,1,0.0083423
83,1.7536809269173e-07,1.0311372234866e-05,6.64196333220596e-08,2.14572403841637e-07,1.79459402449567e-07,1.79459402449567e-07,3.37038745104102e-07,2.35740292207165e-14,1.53538364002996e-07,2.40047557703504e-13,4.89946484530203e-07,3.4556747375171e-16,1.858944522442e-08,1,0.0087236
84,1.82006832810667e-07,1.09222210218467e-05,7.06376569361383e-08,2.18481450658303e-07,1.90208447659046e-07,1.90208447659046e-07,3.49556316423161e-07,2.36877489584434e-14,1.5390824850684e-07,2.38644486996931e-13,4.88512524913057e-07,3.41528664874779e-16,1.84804941729051e-08,1,0.0090254
85,1.88882482597208e-07,1.15373617724321e-05,7.52688296110572e-08,2.1984278861052e-07,2.01037649638636e-07,2.01037649638636e-07,3.60861031014034e-07,2.38287941734274e-14,1.54365780448347e-07,2.37368912840549e-13,4.87205206089333e-07,3.37607780744629e-16,1.837410625703e-08,1,0.0090605
86,1.95954710077692e-07,1.21470841549393e-05,8.03149721245691e-08,2.17976910777098e-07,2.1177256259719e-07,2.1177256259719e-07,3.7055293919407e-07,2.39982064318949e-14,1.54913545023974e-07,2.36205431072001e-13,4.86009702652118e-07,3.33810764759983e-16,1.82704889031461e-08,1,0.0090345
87,2.03172189794116e-07,1.27388937779827e-05,8.57711835834336e-08,2.12197989126723e-07,2.22186764986532e-07,2.22186764986532e-07,3.78281320996467e-07,2.41968355384908e-14,1.55553320564014e-07,2.35135216436861e-13,4.84907430791549e-07,3.30147997917325e-16,1.81699751765743e-08,1,0.0093176
88,2.10470605554671e-07,1.32970339067639e-05,9.16235985406538e-08,2.01963908048334e-07,2.31991972743373e-07,2.31991972743373e-07,3.83851434936319e-07,2.44252564505823e-14,1.56285816536826e-07,2.34137565387609e-13,4.83877634725566e-07,3.26636022588471e-16,1.80730745195296e-08,1,0.0091538
89,2.17770441011371e-07,1.38019994912682e-05,9.78469569690086e-08,1.87245258315676e-07,2.40827333630733e-07,2.40827333630733e-07,3.87410547061585e-07,2.46836689059498e-14,1.57110371732581e-07,2.33193176248136e-13,4.82900793381142e-07,3.23299789544564e-16,1.79805391894838e-08,1,0.0090603
